dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,19.872920,7.388147,20.134619,4.156783,0.591727,0.037744,0.332082
0.050000,20.070193,7.455270,20.342998,4.167590,0.216141,-7.511727,0.323647
0.050000,20.264839,7.519554,20.547985,4.099739,-1.357036,-31.463550,0.314112
0.050000,20.453947,7.579925,20.746496,3.970211,-2.590558,-24.670431,0.303730
0.050000,20.637354,7.636312,20.938375,3.837591,-2.652384,-1.236528,0.292643
0.050000,20.814887,7.688690,21.123473,3.701960,-2.712630,-1.204911,0.280986
0.050000,20.986362,7.737073,21.301643,3.563401,-2.771178,-1.170954,0.268894
0.050000,21.151589,7.781516,21.472744,3.422009,-2.827848,-1.133416,0.256495
0.050000,21.310378,7.822105,21.636638,3.277888,-2.882421,-1.091454,0.243912
0.050000,21.462536,7.858960,21.793196,3.131155,-2.934653,-1.044638,0.231266
0.050000,21.607875,7.892227,21.942293,2.981940,-2.984300,-0.992942,0.218668
0.050000,21.746211,7.922071,22.083812,2.830383,-3.031136,-0.936710,0.206224
0.050000,21.877371,7.948681,22.217644,2.676635,-3.074965,-0.876590,0.194036
0.050000,22.001189,7.972256,22.343686,2.520853,-3.115638,-0.813463,0.182195
0.050000,22.117513,7.993005,22.461846,2.363200,-3.153056,-0.748357,0.170785
0.050000,22.226202,8.011143,22.572038,2.203841,-3.187174,-0.682363,0.159886
0.050000,22.327129,8.026886,22.674186,2.042941,-3.218002,-0.616557,0.149566
0.050000,22.420178,8.040449,22.768219,1.880661,-3.245599,-0.551938,0.139888
0.050000,22.505250,8.052039,22.854076,1.717158,-3.270068,-0.489369,0.130909
0.050000,22.582256,8.061857,22.931706,1.552581,-3.291545,-0.429549,0.122676
0.050000,22.651119,8.070087,23.001059,1.387071,-3.310194,-0.372986,0.115233
0.050000,22.711776,8.076905,23.062097,1.220761,-3.326194,-0.319996,0.108615
0.050000,22.764170,8.082466,23.114786,1.053775,-3.339729,-0.270705,0.102853
0.050000,22.808258,8.086908,23.159097,0.886226,-3.350983,-0.225064,0.097974
0.050000,22.844004,8.090350,23.195008,0.718219,-3.360126,-0.182868,0.093997
0.050000,22.871379,8.092888,23.222501,0.549854,-3.367315,-0.143773,0.090939
0.050000,22.890363,8.094599,23.241562,0.381220,-3.372681,-0.107328,0.088812
0.050000,22.900942,8.095535,23.252182,0.212403,-3.376331,-0.072992,0.087624
0.050000,22.904129,8.095814,23.255381,0.063979,-2.968477,8.157065,0.087266
0.050000,22.904129,8.095814,23.255381,0.000000,-1.279584,33.777860,0.087266
